75.8,30.46,16.23,11-09-2020 12:30:00,11-09-2020 12:30:28
75.61,29.07,7.55,11-09-2020 12:35:00,11-09-2020 12:35:28
78.37,29.88,7.58,11-09-2020 12:40:00,11-09-2020 12:40:24
77.89,29.91,7.24,11-09-2020 12:45:00,11-09-2020 12:45:19
77.75,30.02,7.78,11-09-2020 12:50:00,11-09-2020 12:50:22
78.5,29.79,6.76,11-09-2020 12:55:00,11-09-2020 12:55:20
76.74,30.58,16.88,11-09-2020 13:00:00,11-09-2020 13:00:38
78.69,29.86,7.73,11-09-2020 13:05:00,11-09-2020 13:05:25
79.14,29.86,7.89,11-09-2020 13:10:00,11-09-2020 13:10:21
77.89,29.99,6.94,11-09-2020 13:15:00,11-09-2020 13:15:19
77.77,30.0,12.85,11-09-2020 13:20:00,11-09-2020 13:20:23
79.2,29.36,7.75,11-09-2020 13:25:00,11-09-2020 13:25:23
78.5,30.02,7.88,11-09-2020 13:30:00,11-09-2020 13:30:22
77.84,30.17,6.96,11-09-2020 13:35:00,11-09-2020 13:35:18
78.15,29.88,6.85,11-09-2020 13:40:00,11-09-2020 13:40:18
78.31,29.95,6.81,11-09-2020 13:45:00,11-09-2020 13:45:21
78.65,30.52,6.94,11-09-2020 13:50:00,11-09-2020 13:50:22
80.23,30.01,6.93,11-09-2020 13:55:00,11-09-2020 13:55:19
78.38,28.97,6.7,11-09-2020 14:00:00,11-09-2020 14:00:18
78.37,29.97,6.77,11-09-2020 14:05:00,11-09-2020 14:05:19
73.15,30.2,29.93,11-09-2020 14:10:00,11-09-2020 14:10:26
77.56,30.05,6.95,11-09-2020 14:15:00,11-09-2020 14:15:20
72.16,31.71,30.66,11-09-2020 14:20:00,11-09-2020 14:20:23
78.62,29.93,7.75,11-09-2020 14:25:00,11-09-2020 14:25:25
77.96,29.92,7.64,11-09-2020 14:30:00,11-09-2020 14:30:27
76.85,30.33,16.87,11-09-2020 14:35:00,11-09-2020 14:35:25
78.15,29.92,6.98,11-09-2020 14:40:00,11-09-2020 14:40:21
78.04,29.95,7.78,11-09-2020 14:45:00,11-09-2020 14:45:22
78.63,30.25,13.77,11-09-2020 14:50:00,11-09-2020 14:50:26
78.42,29.84,7.2,11-09-2020 14:55:00,11-09-2020 14:55:21
73.91,28.92,7.65,11-09-2020 15:00:00,11-09-2020 15:00:26
79.47,29.88,7.86,11-09-2020 15:05:00,11-09-2020 15:05:24
77.92,29.77,6.99,11-09-2020 15:10:00,11-09-2020 15:10:21
76.59,30.32,16.82,11-09-2020 15:15:00,11-09-2020 15:15:25
79.05,29.97,7.81,11-09-2020 15:20:00,11-09-2020 15:20:22
78.0,29.83,6.96,11-09-2020 15:25:00,11-09-2020 15:25:22
75.49,30.39,16.77,11-09-2020 15:30:00,11-09-2020 15:30:25
77.84,29.88,7.6,11-09-2020 15:35:00,11-09-2020 15:35:27
78.07,29.97,7.1,11-09-2020 15:40:00,11-09-2020 15:40:19
79.44,28.53,7.84,11-09-2020 15:45:00,11-09-2020 15:45:23
77.45,29.94,7.7,11-09-2020 15:50:00,11-09-2020 15:50:21
78.7,29.98,7.25,11-09-2020 15:55:00,11-09-2020 15:55:22
78.72,29.39,6.96,11-09-2020 16:00:00,11-09-2020 16:00:23
79.14,29.91,6.8,11-09-2020 16:05:00,11-09-2020 16:05:19
78.47,27.58,7.77,11-09-2020 16:10:00,11-09-2020 16:10:28
78.37,29.86,7.02,11-09-2020 16:15:00,11-09-2020 16:15:24
78.17,30.0,7.82,11-09-2020 16:20:00,11-09-2020 16:20:24
78.49,29.93,7.84,11-09-2020 16:25:00,11-09-2020 16:25:23
76.6,30.02,7.33,11-09-2020 16:30:00,11-09-2020 16:30:22
78.15,30.03,7.69,11-09-2020 16:35:00,11-09-2020 16:35:24
78.35,29.17,7.03,11-09-2020 16:40:00,11-09-2020 16:40:21
78.2,29.98,7.43,11-09-2020 16:45:00,11-09-2020 16:45:23
72.55,30.25,30.87,11-09-2020 16:50:00,11-09-2020 16:50:25
79.28,29.86,6.96,11-09-2020 16:55:00,11-09-2020 16:55:24
78.4,29.39,7.81,11-09-2020 17:00:00,11-09-2020 17:00:40
76.46,30.17,16.75,11-09-2020 17:05:00,11-09-2020 17:05:23
