1,11-04-2025 09:48:00,11-04-2025 09:48:00
0,11-04-2025 09:50:03,11-04-2025 09:50:03,'str' object has no attribute 'ret_code'
0,11-04-2025 09:51:03,11-04-2025 09:51:03,'str' object has no attribute 'ret_code'
0,11-04-2025 09:52:04,11-04-2025 09:52:04,'str' object has no attribute 'ret_code'
0,11-04-2025 09:53:03,11-04-2025 09:53:03,'str' object has no attribute 'ret_code'
---
0,11-04-2025 09:54:00,11-04-2025 09:54:03
1,11-04-2025 09:55:00,11-04-2025 09:55:00
1,11-04-2025 09:56:00,11-04-2025 09:56:00
